source,class,target,rho,pspin
sandiego2015_flb457,dopamine,D2,-5.7969723002537776e-05,0.9996000399960004
fazio2016_madam,serotonin,5-HTT,-0.34088637208110095,0.0040995900409959
beliveau2017_cumi101,serotonin,5-HT1A,-0.031009435680068028,0.7922207779222078
savli2012_p943,serotonin,5-HT1B,0.17632035708924815,0.138986101389861
savli2012_altanserin,serotonin,5-HT2A,0.036385225482637396,0.7381261873812619
normandin2015_omar,various,Cannabinoid 1,0.34450355205267835,0.005099490050994901
